Rate_Date	Currency	Rate_Year	Rate_Month	Buying_Rate	Central_Rate	Selling_Rate	column8
2002-01-23	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-24	US DOLLAR	2002	January	112.9500	113.4500	113.9500	NULL
2002-01-25	US DOLLAR	2002	January	113.2000	113.7000	114.2000	NULL
2002-01-28	US DOLLAR	2002	January	113.2000	113.7000	114.2000	NULL
2002-01-29	US DOLLAR	2002	January	113.2000	113.7000	114.2000	NULL
2002-01-30	US DOLLAR	2002	January	113.2000	113.7000	114.2000	NULL
2002-01-31	US DOLLAR	2002	January	113.2000	113.7000	114.2000	NULL
2002-02-01	US DOLLAR	2002	February	113.2000	113.7000	114.2000	NULL
2002-02-04	US DOLLAR	2002	February	113.2000	113.7000	114.2000	NULL
2002-02-05	US DOLLAR	2002	February	113.2000	113.7000	114.2000	NULL
2002-02-06	US DOLLAR	2002	February	113.2000	113.7000	114.2000	NULL
2002-02-07	US DOLLAR	2002	February	113.2000	113.7000	114.2000	NULL
2002-02-08	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-11	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-12	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-13	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-14	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-15	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-18	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-19	US DOLLAR	2002	February	113.7000	114.2000	114.7000	NULL
2002-02-20	US DOLLAR	2002	February	114.2000	114.7000	115.2000	NULL
2002-02-21	US DOLLAR	2002	February	114.2000	114.7000	115.2000	NULL
2002-02-25	US DOLLAR	2002	February	114.2000	114.7000	115.2000	NULL
2002-02-26	US DOLLAR	2002	February	114.2000	114.7000	115.2000	NULL
2002-02-27	US DOLLAR	2002	February	114.2000	114.7000	115.2000	NULL
2002-02-28	US DOLLAR	2002	February	114.7000	115.2000	115.7000	NULL
2002-03-01	US DOLLAR	2002	March	114.7000	115.2000	115.7000	NULL
2002-03-04	US DOLLAR	2002	March	114.7000	115.2000	115.7000	NULL
2002-03-05	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-06	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-07	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-08	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-11	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-12	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-13	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-14	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-15	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-18	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-19	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-20	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-21	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-22	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-25	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-26	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-27	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-03-28	US DOLLAR	2002	March	115.1000	115.6000	116.1000	NULL
2002-04-02	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-03	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-04	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-07	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-08	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-09	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-10	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-11	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-12	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-15	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-16	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-17	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-18	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-19	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-22	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-23	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-24	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-25	US DOLLAR	2002	April	115.1000	115.6000	116.1000	NULL
2002-04-26	US DOLLAR	2002	April	115.3000	115.8000	116.3000	NULL
2002-04-29	US DOLLAR	2002	April	115.3000	115.8000	116.3000	NULL
2002-04-30	US DOLLAR	2002	April	115.3000	115.8000	116.3000	NULL
2002-05-02	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-03	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-06	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-07	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-08	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-09	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-10	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-13	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-14	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-15	US DOLLAR	2002	May	115.3000	115.8000	116.3000	NULL
2002-05-16	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-17	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-20	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-21	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-22	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-23	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-27	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-28	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-30	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-05-31	US DOLLAR	2002	May	115.8000	116.3000	116.8000	NULL
2002-06-03	US DOLLAR	2002	June	115.8000	116.3000	116.8000	NULL
2002-06-04	US DOLLAR	2002	June	115.8000	116.3000	116.8000	NULL
2002-06-05	US DOLLAR	2002	June	115.8000	116.3000	116.8000	NULL
2002-06-06	US DOLLAR	2002	June	116.3000	116.8000	117.3000	NULL
2002-06-07	US DOLLAR	2002	June	116.3000	116.8000	117.3000	NULL
2002-06-10	US DOLLAR	2002	June	116.3000	116.8000	117.3000	NULL
2002-06-11	US DOLLAR	2002	June	116.3000	116.8000	117.3000	NULL
2002-06-12	US DOLLAR	2002	June	116.5500	117.0500	117.5500	NULL
2002-06-13	US DOLLAR	2002	June	119.5500	117.0500	117.5500	NULL
2002-06-14	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-17	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-18	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-19	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-20	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-21	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-24	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-25	US DOLLAR	2002	June	118.5500	119.0500	119.5500	NULL
2002-06-26	US DOLLAR	2002	June	118.8500	119.3500	119.8500	NULL
2002-06-27	US DOLLAR	2002	June	118.8500	119.3500	119.8500	NULL
2002-06-28	US DOLLAR	2002	June	119.1000	119.6000	120.1000	NULL
2002-07-01	US DOLLAR	2002	July	119.1000	119.6000	120.1000	NULL
2002-07-02	US DOLLAR	2002	July	119.1000	119.6000	120.1000	NULL
2002-07-03	US DOLLAR	2002	July	119.1000	119.6000	120.1000	NULL
2002-07-04	US DOLLAR	2002	July	119.1000	119.6000	120.1000	NULL
2002-07-05	US DOLLAR	2002	July	119.6500	120.1500	120.6500	NULL
2002-07-08	US DOLLAR	2002	July	119.6500	120.1500	120.6500	NULL
2002-07-09	US DOLLAR	2002	July	119.6500	120.1500	120.6500	NULL
2002-07-10	US DOLLAR	2002	July	119.6500	120.1500	120.6500	NULL
2002-07-11	US DOLLAR	2002	July	120.1500	120.6500	121.1500	NULL
2002-07-12	US DOLLAR	2002	July	120.1500	120.6500	121.1500	NULL
2002-07-15	US DOLLAR	2002	July	122.1500	122.6500	123.1500	NULL
2002-07-16	US DOLLAR	2002	July	122.1500	122.6500	123.1500	NULL
2002-07-17	US DOLLAR	2002	July	123.1500	123.6500	124.1500	NULL
2002-07-18	US DOLLAR	2002	July	123.1500	123.6500	124.1500	NULL
2002-07-19	US DOLLAR	2002	July	124.6500	125.1500	125.6500	NULL
2002-07-22	US DOLLAR	2002	July	124.6500	125.1500	125.6500	NULL
2002-07-23	US DOLLAR	2002	July	125.0000	125.5000	126.0000	NULL
2002-07-24	US DOLLAR	2002	July	127.5500	128.0500	128.5500	NULL
2002-07-25	US DOLLAR	2002	July	127.5500	128.0500	128.5500	NULL
2002-07-26	US DOLLAR	2002	July	127.5500	128.0500	128.5500	NULL
2002-07-29	US DOLLAR	2002	July	127.5500	128.0500	128.5500	NULL
2002-07-30	US DOLLAR	2002	July	130.0100	130.5100	131.0100	NULL
2002-07-31	US DOLLAR	2002	July	125.0000	125.5000	126.0000	NULL
2002-08-01	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-02	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-05	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-06	US DOLLAR	2002	August	126.6600	127.1600	127.6600	NULL
2002-08-07	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-08	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-09	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-12	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-13	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-14	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-15	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-16	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-19	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-20	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-21	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-22	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-23	US DOLLAR	2002	August	124.0000	124.5000	125.0000	NULL
2002-08-26	US DOLLAR	2002	August	124.5100	125.0100	125.5100	NULL
2002-08-27	US DOLLAR	2002	August	124.5100	125.0100	125.5100	NULL
2002-08-28	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-29	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-08-30	US DOLLAR	2002	August	125.0000	125.5000	126.0000	NULL
2002-09-02	US DOLLAR	2002	September	125.0100	125.5100	126.0100	NULL
2002-09-03	US DOLLAR	2002	September	125.0100	125.5100	126.0100	NULL
2002-09-04	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-05	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-06	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-10	US DOLLAR	2002	September	125.5100	126.0100	126.5100	NULL
2002-09-11	US DOLLAR	2002	September	125.8500	126.3500	126.8500	NULL
2002-09-12	US DOLLAR	2002	September	125.8500	126.3500	126.8500	NULL
2002-09-13	US DOLLAR	2002	September	125.8500	126.3500	126.8500	NULL
2002-09-16	US DOLLAR	2002	September	126.2000	126.7000	127.2000	NULL
2002-09-17	US DOLLAR	2002	September	126.2000	126.7000	127.2000	NULL
2002-09-18	US DOLLAR	2002	September	125.7600	126.2600	126.7600	NULL
2002-09-19	US DOLLAR	2002	September	125.7600	126.2600	126.7600	NULL
2002-09-20	US DOLLAR	2002	September	125.7600	126.2600	126.7600	NULL
2002-09-23	US DOLLAR	2002	September	125.0000	125.5000	126.0000	NULL
2002-09-24	US DOLLAR	2002	September	125.0000	125.5000	126.0000	NULL
2002-09-25	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-26	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-27	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-09-30	US DOLLAR	2002	September	125.2500	125.7500	126.2500	NULL
2002-10-02	US DOLLAR	2002	October	125.0000	125.5000	126.0000	NULL
2002-10-03	US DOLLAR	2002	October	125.0000	125.5000	126.0000	NULL
2002-10-04	US DOLLAR	2002	October	125.0000	125.5000	126.0000	NULL
2002-10-07	US DOLLAR	2002	October	125.0000	125.5000	126.0000	NULL
2002-10-08	US DOLLAR	2002	October	125.0000	125.5000	126.0000	NULL
2002-10-09	US DOLLAR	2002	October	125.2500	125.7500	126.2500	NULL
2002-10-10	US DOLLAR	2002	October	125.2500	125.7500	126.2500	NULL
2002-10-11	US DOLLAR	2002	October	125.2500	125.7500	126.2500	NULL
2002-10-14	US DOLLAR	2002	October	125.5000	126.0000	126.5000	NULL
2002-10-15	US DOLLAR	2002	October	125.5000	126.0000	126.5000	NULL
2002-10-16	US DOLLAR	2002	October	125.5500	126.0500	126.5500	NULL
2002-10-17	US DOLLAR	2002	October	125.5500	126.0500	126.5500	NULL
2002-10-21	US DOLLAR	2002	October	125.7000	126.2000	126.7000	NULL
2002-10-22	US DOLLAR	2002	October	125.7000	126.2000	126.7000	NULL
2002-10-23	US DOLLAR	2002	October	125.8100	126.3100	126.8100	NULL
2002-10-24	US DOLLAR	2002	October	125.8100	126.3100	126.8100	NULL
2002-10-25	US DOLLAR	2002	October	125.8100	126.3100	126.8100	NULL
2002-10-28	US DOLLAR	2002	October	125.9100	126.4100	126.9100	NULL
2002-10-29	US DOLLAR	2002	October	125.9100	126.4100	126.9100	NULL
2002-10-30	US DOLLAR	2002	October	125.7500	126.2500	126.7500	NULL
2002-10-31	US DOLLAR	2002	October	125.7500	126.2500	126.7500	NULL
2002-11-01	US DOLLAR	2002	November	125.7500	126.2500	126.7500	NULL
2002-11-04	US DOLLAR	2002	November	125.8000	126.3000	126.8000	NULL
2002-11-05	US DOLLAR	2002	November	125.8000	126.3000	126.8000	NULL
2002-11-06	US DOLLAR	2002	November	125.6500	126.1500	126.6500	NULL
2002-11-07	US DOLLAR	2002	November	125.6500	126.1500	126.6500	NULL
2002-11-08	US DOLLAR	2002	November	125.6500	126.1500	126.6500	NULL
2002-11-11	US DOLLAR	2002	November	125.8000	126.3000	126.8000	NULL
2002-11-12	US DOLLAR	2002	November	125.8000	126.3000	126.8000	NULL
2002-11-13	US DOLLAR	2002	November	125.9000	126.4000	126.9000	NULL
2002-11-14	US DOLLAR	2002	November	125.9000	126.4000	126.9000	NULL
2002-11-15	US DOLLAR	2002	November	125.9000	126.4000	126.9000	NULL
2002-11-18	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-19	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-20	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-21	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-22	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-25	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-26	US DOLLAR	2002	November	125.8500	126.3500	126.8500	NULL
2002-11-27	US DOLLAR	2002	November	125.9100	126.4100	126.9100	NULL
2002-11-28	US DOLLAR	2002	November	125.9100	126.4100	126.9100	NULL
2002-11-29	US DOLLAR	2002	November	125.9100	126.4100	126.9100	NULL
2002-12-02	US DOLLAR	2002	December	125.9100	126.4100	126.9100	NULL
2002-12-06	US DOLLAR	2002	December	125.9100	126.4100	126.9100	NULL
2002-12-09	US DOLLAR	2002	December	125.9100	126.4100	126.9100	NULL
2002-12-10	US DOLLAR	2002	December	125.9100	126.4100	126.9100	NULL
2002-12-11	US DOLLAR	2002	December	125.8000	126.3000	126.8000	NULL
2002-12-12	US DOLLAR	2002	December	125.8000	126.3000	126.8000	NULL
2002-12-13	US DOLLAR	2002	December	125.8000	126.3000	126.8000	NULL
2002-12-16	US DOLLAR	2002	December	125.9200	126.4200	126.9200	NULL
2002-12-17	US DOLLAR	2002	December	125.9200	126.4200	126.9200	NULL
2002-12-18	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-19	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-20	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-23	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-24	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-27	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-30	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2002-12-31	US DOLLAR	2002	December	125.9000	126.4000	126.9000	NULL
2003-01-02	US DOLLAR	2003	January	125.9000	126.4000	126.9000	NULL
2003-01-03	US DOLLAR	2003	January	125.9000	126.4000	126.9000	NULL
2003-01-06	US DOLLAR	2003	January	125.9700	126.4700	126.9700	NULL
2003-01-07	US DOLLAR	2003	January	125.9700	126.4700	126.9700	NULL
2003-01-08	US DOLLAR	2003	January	126.0100	126.5100	127.0100	NULL
2003-01-10	US DOLLAR	2003	January	126.0100	126.5100	127.0100	NULL
2003-01-13	US DOLLAR	2003	January	126.1100	126.6100	127.1100	NULL
2003-01-14	US DOLLAR	2003	January	126.1100	126.6100	127.1100	NULL
2003-01-15	US DOLLAR	2003	January	126.0200	126.5200	127.0200	NULL
2003-01-16	US DOLLAR	2003	January	126.0200	126.5200	127.0200	NULL
2003-01-17	US DOLLAR	2003	January	126.0200	126.5200	127.0200	NULL
2003-01-20	US DOLLAR	2003	January	126.1300	126.6300	127.1300	NULL
2003-01-21	US DOLLAR	2003	January	126.1300	126.6300	127.1300	NULL
2003-01-22	US DOLLAR	2003	January	126.1200	126.6200	127.1200	NULL
2003-01-23	US DOLLAR	2003	January	126.1200	126.6200	127.1200	NULL
2003-01-24	US DOLLAR	2003	January	126.1200	126.6200	127.1200	NULL
2003-01-27	US DOLLAR	2003	January	126.2100	126.7100	127.2100	NULL
2003-01-28	US DOLLAR	2003	January	126.2100	126.7100	127.2100	NULL
2003-01-29	US DOLLAR	2003	January	126.2700	126.7700	127.2700	NULL
2003-01-30	US DOLLAR	2003	January	126.2700	126.7700	127.2700	NULL
2003-01-31	US DOLLAR	2003	January	126.2700	126.7700	127.2700	NULL
2003-02-03	US DOLLAR	2003	February	126.3600	126.8600	127.3600	NULL
2003-02-04	US DOLLAR	2003	February	126.3600	126.8600	127.3600	NULL
2003-02-05	US DOLLAR	2003	February	126.5000	127.0000	127.5000	NULL
2003-02-06	US DOLLAR	2003	February	126.5000	127.0000	127.5000	NULL
2003-02-07	US DOLLAR	2003	February	126.5000	127.0000	127.5000	NULL
2003-02-10	US DOLLAR	2003	February	126.4500	126.9500	127.4500	NULL
2003-02-13	US DOLLAR	2003	February	126.4500	126.9500	127.4500	NULL
2003-02-14	US DOLLAR	2003	February	126.4500	126.9500	127.4500	NULL
2003-02-17	US DOLLAR	2003	February	126.6100	127.1100	127.6100	NULL
2003-02-18	US DOLLAR	2003	February	126.6100	127.1100	127.6100	NULL
2003-02-19	US DOLLAR	2003	February	126.7600	127.2600	127.7600	NULL
2003-02-20	US DOLLAR	2003	February	126.7600	127.2600	127.7600	NULL
2003-02-21	US DOLLAR	2003	February	126.7600	127.2600	127.7600	NULL
2003-02-24	US DOLLAR	2003	February	126.9600	127.4600	127.9600	NULL
2003-02-25	US DOLLAR	2003	February	126.9600	127.4600	127.9600	NULL
2003-02-26	US DOLLAR	2003	February	126.0200	126.5200	127.0200	NULL
2003-02-27	US DOLLAR	2003	February	126.0200	126.5200	127.0200	NULL
2003-02-28	US DOLLAR	2003	February	126.0200	126.5200	127.0200	NULL
2003-03-03	US DOLLAR	2003	March	126.2000	126.7000	127.2000	NULL
2003-03-04	US DOLLAR	2003	March	126.2000	126.7000	127.2000	NULL
2003-03-05	US DOLLAR	2003	March	126.2000	126.7000	127.2000	NULL
2003-03-06	US DOLLAR	2003	March	126.2000	126.7000	127.2000	NULL
2003-03-07	US DOLLAR	2003	March	126.2000	126.7000	127.2000	NULL
2003-03-11	US DOLLAR	2003	March	126.3800	126.7000	127.3800	NULL
2003-03-12	US DOLLAR	2003	March	126.5200	127.0200	127.5200	NULL
2003-03-13	US DOLLAR	2003	March	126.5200	127.0200	127.5200	NULL
2003-03-14	US DOLLAR	2003	March	126.5200	127.0200	127.5200	NULL
2003-03-17	US DOLLAR	2003	March	126.7000	127.2000	127.7000	NULL
2003-03-18	US DOLLAR	2003	March	126.7000	127.2000	127.7000	NULL
2003-03-19	US DOLLAR	2003	March	126.3000	126.8000	127.3000	NULL
2003-03-20	US DOLLAR	2003	March	126.3000	126.8000	127.3000	NULL
2003-03-21	US DOLLAR	2003	March	126.3000	126.8000	127.3000	NULL
2003-03-24	US DOLLAR	2003	March	126.5200	127.0200	127.5200	NULL
2003-03-25	US DOLLAR	2003	March	126.5200	127.0200	127.5200	NULL
2003-03-26	US DOLLAR	2003	March	126.2200	126.7200	127.2200	NULL
2003-03-27	US DOLLAR	2003	March	126.2200	126.7200	127.2200	NULL
2003-03-28	US DOLLAR	2003	March	126.2200	126.7200	127.2200	NULL
2003-03-31	US DOLLAR	2003	March	126.3700	126.8700	127.3700	NULL
2003-04-01	US DOLLAR	2003	April	126.3700	126.8700	127.3700	NULL
2003-04-02	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-03	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-04	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-07	US DOLLAR	2003	April	126.1000	126.6000	127.1000	NULL
2003-04-08	US DOLLAR	2003	April	126.1000	126.6000	127.1000	NULL
2003-04-09	US DOLLAR	2003	April	126.2700	126.7700	127.2700	NULL
2003-04-10	US DOLLAR	2003	April	126.2700	126.7700	127.2700	NULL
2003-04-11	US DOLLAR	2003	April	126.2700	126.7700	127.2700	NULL
2003-04-14	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-15	US DOLLAR	2003	April	127.5100	127.0100	127.5100	NULL
2003-04-16	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-17	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-22	US DOLLAR	2003	April	126.5100	127.0100	127.5100	NULL
2003-04-23	US DOLLAR	2003	April	126.6600	127.1600	127.6600	NULL
2003-04-24	US DOLLAR	2003	April	126.6600	127.1600	127.6600	NULL
2003-04-25	US DOLLAR	2003	April	126.6600	127.1600	127.6600	NULL
2003-04-28	US DOLLAR	2003	April	126.8100	127.3100	127.8100	NULL
2003-04-29	US DOLLAR	2003	April	126.8100	127.3100	127.8100	NULL
2003-04-30	US DOLLAR	2003	April	126.6000	127.1000	127.6000	NULL
2003-05-02	US DOLLAR	2003	May	126.6000	127.1000	127.6000	NULL
2003-05-05	US DOLLAR	2003	May	126.5300	127.0300	127.5300	NULL
2003-05-06	US DOLLAR	2003	May	126.5300	127.0300	127.5300	NULL
2003-05-07	US DOLLAR	2003	May	126.6200	127.1200	127.6200	NULL
2003-05-08	US DOLLAR	2003	May	126.6200	127.1200	127.6200	NULL
2003-05-09	US DOLLAR	2003	May	126.6200	127.1200	127.6200	NULL
2003-05-12	US DOLLAR	2003	May	126.5000	127.0000	127.5000	NULL
2003-05-14	US DOLLAR	2003	May	126.5000	127.0000	127.5000	NULL
2003-05-15	US DOLLAR	2003	May	126.5000	127.0000	127.5000	NULL
2003-05-16	US DOLLAR	2003	May	126.5000	127.0000	127.5000	NULL
2003-05-19	US DOLLAR	2003	May	126.7200	127.2200	127.7200	NULL
2003-05-20	US DOLLAR	2003	May	126.7200	127.2200	127.7200	NULL
2003-05-21	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
2003-05-22	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
2003-05-23	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
2003-05-26	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
2003-05-27	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
2003-05-28	US DOLLAR	2003	May	126.8200	127.3200	127.8200	NULL
