Id	RateDate	Currency	RateYear	RateMonth	BuyingRate	CentralRate	SellingRate
27	2022-06-02	US DOLLAR	2022	June	414.6200	415.1200	415.6200
28	2022-06-01	US DOLLAR	2022	June	414.5800	415.0800	415.5800
29	2022-05-31	US DOLLAR	2022	May	414.6500	415.1500	415.6500
30	2022-05-30	US DOLLAR	2022	May	414.5700	415.0700	415.5700
31	2022-05-27	US DOLLAR	2022	May	414.6300	415.1300	415.6300
32	2022-05-26	US DOLLAR	2022	May	414.7200	415.2200	415.7200
33	2022-05-25	US DOLLAR	2022	May	414.7200	415.2200	415.7200
34	2022-05-24	US DOLLAR	2022	May	414.6800	415.1800	415.6800
35	2022-05-23	US DOLLAR	2022	May	414.6800	415.1800	415.6800
36	2022-05-20	US DOLLAR	2022	May	414.5800	415.0800	415.5800
37	2022-05-19	US DOLLAR	2022	May	414.6200	415.1200	415.6200
38	2022-05-18	US DOLLAR	2022	May	414.6200	415.1200	415.6200
39	2022-05-17	US DOLLAR	2022	May	414.6800	415.1800	415.6800
40	2022-05-16	US DOLLAR	2022	May	414.7500	415.2500	415.7500
41	2022-05-13	US DOLLAR	2022	May	413.7400	414.7400	415.7400
42	2022-05-12	US DOLLAR	2022	May	413.7600	414.7600	415.7600
43	2022-05-11	US DOLLAR	2022	May	413.8300	414.8300	415.8300
44	2022-05-09	US DOLLAR	2022	May	413.8300	414.8300	415.8300
45	2022-05-06	US DOLLAR	2022	May	414.8000	415.3000	415.8000
46	2022-05-05	US DOLLAR	2022	May	414.6900	415.1900	415.6900
47	2022-05-04	US DOLLAR	2022	May	414.6200	415.1200	415.6200
48	2022-04-29	US DOLLAR	2022	April	414.6900	415.1900	415.6900
49	2022-04-28	US DOLLAR	2022	April	414.7600	415.2600	415.7600
50	2022-04-27	US DOLLAR	2022	April	414.8300	415.3300	415.8300
51	2022-04-26	US DOLLAR	2022	April	414.9200	415.4200	415.9200
52	2022-04-25	US DOLLAR	2022	April	414.9800	415.4800	415.9800
53	2022-04-22	US DOLLAR	2022	April	414.0800	415.0800	416.0800
54	2022-04-21	US DOLLAR	2022	April	415.0800	415.5800	416.0800
55	2022-04-20	US DOLLAR	2022	April	415.0800	415.5800	416.0800
56	2022-04-19	US DOLLAR	2022	April	415.0000	415.5000	416.0000
57	2022-04-14	US DOLLAR	2022	April	414.0000	415.0000	416.0000
58	2022-04-13	US DOLLAR	2022	April	414.0300	415.0300	416.0300
59	2022-04-12	US DOLLAR	2022	April	414.0800	415.0800	416.0800
60	2022-04-11	US DOLLAR	2022	April	414.0900	415.0900	416.0900
61	2022-04-08	US DOLLAR	2022	April	415.1200	415.6200	416.1200
62	2022-04-07	US DOLLAR	2022	April	415.1500	415.6500	416.1500
63	2022-04-06	US DOLLAR	2022	April	415.1500	415.6500	416.1500
64	2022-04-04	US DOLLAR	2022	April	415.2200	415.7200	416.2200
65	2022-04-01	US DOLLAR	2022	April	415.2200	415.7200	416.2200
66	2022-03-30	US DOLLAR	2022	March	415.2500	415.7500	416.2500
67	2022-03-29	US DOLLAR	2022	March	415.2200	415.7200	416.2200
68	2022-03-28	US DOLLAR	2022	March	415.2500	415.7500	416.2500
69	2022-03-25	US DOLLAR	2022	March	415.2300	415.7300	416.2300
70	2022-03-24	US DOLLAR	2022	March	415.2500	415.7500	416.2500
71	2022-03-23	US DOLLAR	2022	March	415.2500	415.7500	416.2500
72	2022-03-22	US DOLLAR	2022	March	415.2500	415.7500	416.2500
73	2022-03-21	US DOLLAR	2022	March	415.3200	415.8200	416.3200
74	2022-03-18	US DOLLAR	2022	March	415.3900	415.8900	416.3900
75	2022-03-17	US DOLLAR	2022	March	415.4200	415.9200	416.4200
76	2022-03-16	US DOLLAR	2022	March	415.4200	415.9200	416.4200
77	2022-03-15	US DOLLAR	2022	March	415.4200	415.9200	416.4200
78	2022-03-14	US DOLLAR	2022	March	415.4500	415.9500	416.4500
79	2022-03-11	US DOLLAR	2022	March	415.3000	415.8000	416.3000
80	2022-03-10	US DOLLAR	2022	March	415.3400	415.8400	416.3400
81	2022-03-09	US DOLLAR	2022	March	415.3400	415.8400	416.3400
82	2022-03-08	US DOLLAR	2022	March	415.3400	415.8400	416.3400
83	2022-03-07	US DOLLAR	2022	March	415.3400	415.8400	416.3400
84	2022-03-04	US DOLLAR	2022	March	415.2700	415.7700	416.2700
85	2022-03-03	US DOLLAR	2022	March	415.4100	415.9100	416.4100
86	2022-03-02	US DOLLAR	2022	March	415.3600	415.8600	416.3600
87	2022-03-01	US DOLLAR	2022	March	415.4600	415.9600	416.4600
88	2022-02-28	US DOLLAR	2022	February	415.5900	416.0900	416.5900
89	2022-02-25	US DOLLAR	2022	February	415.5200	416.0200	416.5200
90	2022-02-24	US DOLLAR	2022	February	415.3900	415.8900	416.3900
91	2022-02-23	US DOLLAR	2022	February	415.3900	415.8900	416.3900
92	2022-02-22	US DOLLAR	2022	February	415.3900	415.8900	416.3900
93	2022-02-21	US DOLLAR	2022	February	415.3900	415.8900	416.3900
94	2022-02-18	US DOLLAR	2022	February	415.3700	415.8700	416.3700
95	2022-02-17	US DOLLAR	2022	February	415.3700	415.8700	416.3700
96	2022-02-16	US DOLLAR	2022	February	415.3700	415.8700	416.3700
97	2022-02-15	US DOLLAR	2022	February	415.3100	415.8100	416.3100
98	2022-02-14	US DOLLAR	2022	February	415.3100	415.8100	416.3100
99	2022-02-11	US DOLLAR	2022	February	415.9100	416.4100	416.9100
100	2022-02-10	US DOLLAR	2022	February	416.5100	417.0100	417.5100
101	2022-02-09	US DOLLAR	2022	February	416.3700	416.8700	417.3700
102	2022-02-08	US DOLLAR	2022	February	416.2500	416.7500	417.2500
103	2022-02-07	US DOLLAR	2022	February	416.0500	416.5500	417.0500
104	2022-02-04	US DOLLAR	2022	February	415.8800	416.3800	416.8800
105	2022-02-03	US DOLLAR	2022	February	415.7100	416.2100	416.7100
106	2022-02-02	US DOLLAR	2022	February	415.5400	416.0400	416.5400
107	2022-02-01	US DOLLAR	2022	February	415.3600	415.8600	416.3600
108	2022-01-31	US DOLLAR	2022	January	414.2600	415.2600	416.2600
109	2022-01-28	US DOLLAR	2022	January	415.3300	415.8300	416.3300
110	2022-01-27	US DOLLAR	2022	January	415.1600	415.6600	416.1600
111	2022-01-26	US DOLLAR	2022	January	414.9900	415.4900	415.9900
112	2022-01-25	US DOLLAR	2022	January	414.8200	415.3200	415.8200
113	2022-01-24	US DOLLAR	2022	January	414.6400	415.1400	415.6400
114	2022-01-21	US DOLLAR	2022	January	414.5300	415.0300	415.5300
115	2022-01-20	US DOLLAR	2022	January	414.4500	414.9500	415.4500
116	2022-01-19	US DOLLAR	2022	January	414.3000	414.8000	415.3000
117	2022-01-18	US DOLLAR	2022	January	414.1700	414.6700	415.1700
118	2022-01-17	US DOLLAR	2022	January	414.0000	414.5000	415.0000
119	2022-01-14	US DOLLAR	2022	January	413.8900	414.3900	414.8900
120	2022-01-13	US DOLLAR	2022	January	413.7900	414.2900	414.7900
121	2022-01-12	US DOLLAR	2022	January	413.6100	414.1100	414.6100
122	2022-01-11	US DOLLAR	2022	January	413.4400	413.9400	414.4400
123	2022-01-10	US DOLLAR	2022	January	413.2600	413.7600	414.2600
124	2022-01-07	US DOLLAR	2022	January	413.1400	413.6400	414.1400
125	2022-01-06	US DOLLAR	2022	January	412.9600	413.4600	413.9600
126	2022-01-05	US DOLLAR	2022	January	412.7900	413.2900	413.7900
127	2022-01-04	US DOLLAR	2022	January	412.6700	413.1700	413.6700
128	2021-12-31	US DOLLAR	2021	December	412.4900	412.9900	413.4900
129	2021-12-30	US DOLLAR	2021	December	411.7000	412.2000	412.7000
130	2021-12-29	US DOLLAR	2021	December	411.0000	411.5000	412.0000
131	2021-12-24	US DOLLAR	2021	December	410.9500	411.4500	411.9500
132	2021-12-23	US DOLLAR	2021	December	410.9000	411.4000	411.9000
133	2021-12-22	US DOLLAR	2021	December	410.9300	411.4300	411.9300
134	2021-12-21	US DOLLAR	2021	December	410.9200	411.4200	411.9200
135	2021-12-20	US DOLLAR	2021	December	410.9100	411.4100	411.9100
136	2021-12-17	US DOLLAR	2021	December	409.9100	410.9100	411.9100
137	2021-12-16	US DOLLAR	2021	December	409.9100	410.9100	411.9100
138	2021-12-15	US DOLLAR	2021	December	409.8300	410.8300	411.8300
139	2021-12-14	US DOLLAR	2021	December	409.7300	410.7300	411.7300
140	2021-12-13	US DOLLAR	2021	December	409.7200	410.7200	411.7200
141	2021-12-10	US DOLLAR	2021	December	409.7600	410.7600	411.7600
142	2021-12-09	US DOLLAR	2021	December	409.7500	410.7500	411.7500
143	2021-12-08	US DOLLAR	2021	December	409.7400	410.7400	411.7400
144	2021-12-07	US DOLLAR	2021	December	409.7400	410.7400	411.7400
145	2021-12-06	US DOLLAR	2021	December	409.7300	410.7300	411.7300
146	2021-12-03	US DOLLAR	2021	December	409.7400	410.7400	411.7400
147	2021-12-02	US DOLLAR	2021	December	409.7300	410.7300	411.7300
148	2021-12-01	US DOLLAR	2021	December	409.7000	410.7000	411.7000
149	2021-11-30	US DOLLAR	2021	November	409.6600	410.6600	411.6600
150	2021-11-29	US DOLLAR	2021	November	409.6400	410.6400	411.6400
151	2021-11-26	US DOLLAR	2021	November	409.6400	410.6400	411.6400
152	2021-11-25	US DOLLAR	2021	November	409.6400	410.6400	411.6400
153	2021-11-24	US DOLLAR	2021	November	409.6300	410.6300	411.6300
154	2021-11-23	US DOLLAR	2021	November	409.6400	410.6400	411.6400
155	2021-11-22	US DOLLAR	2021	November	409.6300	410.6300	411.6300
156	2021-11-19	US DOLLAR	2021	November	410.5900	411.0900	411.5900
157	2021-11-18	US DOLLAR	2021	November	410.5900	411.0900	411.5900
158	2021-11-17	US DOLLAR	2021	November	410.5700	411.0700	411.5700
159	2021-11-16	US DOLLAR	2021	November	410.5400	411.0400	411.5400
160	2021-11-15	US DOLLAR	2021	November	410.4300	410.9300	411.4300
161	2021-11-12	US DOLLAR	2021	November	410.4200	410.9200	411.4200
162	2021-11-11	US DOLLAR	2021	November	410.3900	410.8900	411.3900
163	2021-11-10	US DOLLAR	2021	November	410.3700	410.8700	411.3700
164	2021-11-09	US DOLLAR	2021	November	410.3400	410.8400	411.3400
165	2021-11-08	US DOLLAR	2021	November	410.3200	410.8200	411.3200
166	2021-11-05	US DOLLAR	2021	November	410.2900	410.7900	411.2900
167	2021-11-04	US DOLLAR	2021	November	410.2700	410.7700	411.2700
168	2021-11-03	US DOLLAR	2021	November	410.2400	410.7400	411.2400
169	2021-11-02	US DOLLAR	2021	November	410.2100	410.7100	411.2100
170	2021-11-01	US DOLLAR	2021	November	410.1700	410.6700	411.1700
171	2021-10-29	US DOLLAR	2021	October	410.0900	410.5900	411.0900
172	2021-10-28	US DOLLAR	2021	October	410.0600	410.5600	411.0600
173	2021-10-27	US DOLLAR	2021	October	410.0200	410.5200	411.0200
174	2021-10-26	US DOLLAR	2021	October	410.0200	410.5200	411.0200
175	2021-10-25	US DOLLAR	2021	October	409.9900	410.4900	410.9900
176	2021-10-22	US DOLLAR	2021	October	409.9600	410.4600	410.9600
177	2021-10-21	US DOLLAR	2021	October	409.9100	410.4100	410.9100
178	2021-10-20	US DOLLAR	2021	October	409.8900	410.3900	410.8900
179	2021-10-18	US DOLLAR	2021	October	409.8900	410.3900	410.8900
180	2021-10-15	US DOLLAR	2021	October	409.9100	410.4100	410.9100
181	2021-10-14	US DOLLAR	2021	October	409.9100	410.4100	410.9100
182	2021-10-13	US DOLLAR	2021	October	409.8700	410.3700	410.8700
183	2021-10-12	US DOLLAR	2021	October	409.8700	410.3700	410.8700
184	2021-10-11	US DOLLAR	2021	October	409.8700	410.3700	410.8700
185	2021-10-08	US DOLLAR	2021	October	409.8100	410.3100	410.8100
186	2021-10-07	US DOLLAR	2021	October	409.8100	410.3100	410.8100
187	2021-10-06	US DOLLAR	2021	October	409.8100	410.3100	410.8100
188	2021-10-05	US DOLLAR	2021	October	409.8200	410.3200	410.8200
189	2021-10-04	US DOLLAR	2021	October	409.8300	410.3300	410.8300
190	2021-09-30	US DOLLAR	2021	September	409.8000	410.3000	410.8000
191	2021-09-29	US DOLLAR	2021	September	409.8000	410.3000	410.8000
192	2021-09-28	US DOLLAR	2021	September	408.7700	409.7700	410.7700
193	2021-09-27	US DOLLAR	2021	September	408.7100	409.7100	410.7100
194	2021-09-24	US DOLLAR	2021	September	409.7000	410.2000	410.7000
195	2021-09-23	US DOLLAR	2021	September	409.6700	410.1700	410.6700
196	2021-09-22	US DOLLAR	2021	September	409.6300	410.1300	410.6300
197	2021-09-21	US DOLLAR	2021	September	409.6000	410.1000	410.6000
198	2021-09-20	US DOLLAR	2021	September	409.5900	410.0900	410.5900
199	2021-09-17	US DOLLAR	2021	September	409.5800	410.0800	410.5800
200	2021-09-16	US DOLLAR	2021	September	409.5700	410.0700	410.5700
201	2021-09-15	US DOLLAR	2021	September	409.5500	410.0500	410.5500
202	2021-09-14	US DOLLAR	2021	September	409.5400	410.0400	410.5400
203	2021-09-13	US DOLLAR	2021	September	409.5100	410.0100	410.5100
204	2021-09-10	US DOLLAR	2021	September	409.4800	409.9800	410.4800
205	2021-09-09	US DOLLAR	2021	September	409.4700	409.9700	410.4700
206	2021-09-08	US DOLLAR	2021	September	409.4500	409.9500	410.4500
207	2021-09-07	US DOLLAR	2021	September	409.4200	409.9200	410.4200
208	2021-09-06	US DOLLAR	2021	September	409.4100	409.9100	410.4100
209	2021-09-03	US DOLLAR	2021	September	409.4000	409.9000	410.4000
210	2021-09-02	US DOLLAR	2021	September	409.3700	409.8700	410.3700
211	2021-09-01	US DOLLAR	2021	September	409.3500	409.8500	410.3500
212	2021-08-31	US DOLLAR	2021	August	409.3200	409.8200	410.3200
213	2021-08-30	US DOLLAR	2021	August	409.2900	409.7900	410.2900
214	2021-08-27	US DOLLAR	2021	August	409.2600	409.7600	410.2600
215	2021-08-26	US DOLLAR	2021	August	409.2300	409.7300	410.2300
216	2021-08-25	US DOLLAR	2021	August	409.2100	409.7100	410.2100
217	2021-08-24	US DOLLAR	2021	August	409.1900	409.6900	410.1900
218	2021-08-23	US DOLLAR	2021	August	409.1600	409.6600	410.1600
219	2021-08-20	US DOLLAR	2021	August	409.1300	409.6300	410.1300
220	2021-08-19	US DOLLAR	2021	August	409.1300	409.6300	410.1300
221	2021-08-18	US DOLLAR	2021	August	409.1000	409.6000	410.1000
222	2021-08-17	US DOLLAR	2021	August	409.1100	409.6100	410.1100
223	2021-08-16	US DOLLAR	2021	August	409.1100	409.6100	410.1100
224	2021-08-13	US DOLLAR	2021	August	409.1100	409.6100	410.1100
225	2021-08-12	US DOLLAR	2021	August	409.1200	409.6200	410.1200
226	2021-08-11	US DOLLAR	2021	August	409.1200	409.6200	410.1200
227	2021-08-10	US DOLLAR	2021	August	409.1200	409.6200	410.1200
228	2021-08-09	US DOLLAR	2021	August	409.1200	409.6200	410.1200
229	2021-08-06	US DOLLAR	2021	August	409.1100	409.6100	410.1100
230	2021-08-05	US DOLLAR	2021	August	409.1100	409.6100	410.1100
231	2021-08-04	US DOLLAR	2021	August	409.1100	409.6100	410.1100
232	2021-08-03	US DOLLAR	2021	August	409.1100	409.6100	410.1100
233	2021-08-02	US DOLLAR	2021	August	409.1000	409.6000	410.1000
234	2021-07-30	US DOLLAR	2021	July	409.1000	409.6000	410.1000
235	2021-07-29	US DOLLAR	2021	July	409.1600	409.6600	410.1600
236	2021-07-28	US DOLLAR	2021	July	409.1600	409.6600	410.1600
237	2021-07-27	US DOLLAR	2021	July	409.1600	409.6600	410.1600
238	2021-07-26	US DOLLAR	2021	July	409.1500	409.6500	410.1500
239	2021-07-22	US DOLLAR	2021	July	409.1400	409.6400	410.1400
240	2021-07-19	US DOLLAR	2021	July	409.1300	409.6300	410.1300
241	2021-07-16	US DOLLAR	2021	July	409.1300	409.6300	410.1300
242	2021-07-15	US DOLLAR	2021	July	409.1300	409.6300	410.1300
243	2021-07-14	US DOLLAR	2021	July	409.1300	409.6300	410.1300
244	2021-07-13	US DOLLAR	2021	July	409.1100	409.6100	410.1100
245	2021-07-12	US DOLLAR	2021	July	409.1100	409.6100	410.1100
246	2021-07-09	US DOLLAR	2021	July	409.1100	409.6100	410.1100
247	2021-07-08	US DOLLAR	2021	July	409.1100	409.6100	410.1100
248	2021-07-07	US DOLLAR	2021	July	409.1200	409.6200	410.1200
249	2021-07-06	US DOLLAR	2021	July	409.1200	409.6200	410.1200
250	2021-07-05	US DOLLAR	2021	July	409.1300	409.6300	410.1300
251	2021-07-02	US DOLLAR	2021	July	409.1600	409.6600	410.1600
252	2021-07-01	US DOLLAR	2021	July	409.1600	409.6600	410.1600
253	2021-06-30	US DOLLAR	2021	June	409.1600	409.6600	410.1600
254	2021-06-29	US DOLLAR	2021	June	409.1600	409.6600	410.1600
255	2021-06-28	US DOLLAR	2021	June	409.1600	409.6600	410.1600
256	2021-06-25	US DOLLAR	2021	June	409.1700	409.6700	410.1700
257	2021-06-24	US DOLLAR	2021	June	409.1700	409.6700	410.1700
258	2021-06-23	US DOLLAR	2021	June	409.1800	409.6800	410.1800
259	2021-06-22	US DOLLAR	2021	June	409.1900	409.6900	410.1900
260	2021-06-21	US DOLLAR	2021	June	409.2000	409.7000	410.2000
261	2021-06-18	US DOLLAR	2021	June	409.2000	409.7000	410.2000
262	2021-06-17	US DOLLAR	2021	June	409.2100	409.7100	410.2100
263	2021-06-16	US DOLLAR	2021	June	409.2200	409.7200	410.2200
264	2021-06-15	US DOLLAR	2021	June	409.1200	409.6200	410.1200
265	2021-06-11	US DOLLAR	2021	June	409.1300	409.6300	410.1300
266	2021-06-10	US DOLLAR	2021	June	409.1300	409.6300	410.1300
267	2021-06-09	US DOLLAR	2021	June	409.1400	409.6400	410.1400
268	2021-06-08	US DOLLAR	2021	June	409.1500	409.6500	410.1500
269	2021-06-07	US DOLLAR	2021	June	409.1700	409.6700	410.1700
270	2021-06-04	US DOLLAR	2021	June	409.1800	409.6800	410.1800
271	2021-06-03	US DOLLAR	2021	June	409.2000	409.7000	410.2000
272	2021-06-02	US DOLLAR	2021	June	409.2200	409.7200	410.2200
273	2021-06-01	US DOLLAR	2021	June	409.0000	409.5000	410.0000
274	2021-05-31	US DOLLAR	2021	May	409.0000	409.5000	410.0000
275	2021-05-28	US DOLLAR	2021	May	409.0000	409.5000	410.0000
276	2021-05-27	US DOLLAR	2021	May	409.0000	409.5000	410.0000
277	2021-05-26	US DOLLAR	2021	May	409.2500	409.7500	410.2500
278	2021-05-25	US DOLLAR	2021	May	409.2500	409.7500	410.2500
279	2021-05-24	US DOLLAR	2021	May	409.2500	409.7500	410.2500
280	2021-05-21	US DOLLAR	2021	May	410.0000	410.5000	411.0000
281	2021-05-10	US DOLLAR	2021	May	379.0000	379.5000	380.0000
282	2021-05-07	US DOLLAR	2021	May	379.0000	379.5000	380.0000
283	2021-05-06	US DOLLAR	2021	May	379.0000	379.5000	380.0000
284	2021-05-05	US DOLLAR	2021	May	379.0000	379.5000	380.0000
285	2021-05-04	US DOLLAR	2021	May	379.0000	379.5000	380.0000
286	2021-04-30	US DOLLAR	2021	April	379.0000	379.5000	380.0000
287	2021-04-29	US DOLLAR	2021	April	379.0000	379.5000	380.0000
288	2021-04-28	US DOLLAR	2021	April	379.0000	379.5000	380.0000
289	2021-04-27	US DOLLAR	2021	April	379.0000	379.5000	380.0000
290	2021-04-26	US DOLLAR	2021	April	379.0000	379.5000	380.0000
291	2021-04-23	US DOLLAR	2021	April	379.0000	379.5000	380.0000
292	2021-04-22	US DOLLAR	2021	April	379.0000	379.5000	380.0000
293	2021-04-21	US DOLLAR	2021	April	379.0000	379.5000	380.0000
294	2021-04-20	US DOLLAR	2021	April	379.0000	379.5000	380.0000
295	2021-04-19	US DOLLAR	2021	April	379.0000	379.5000	380.0000
296	2021-04-16	US DOLLAR	2021	April	379.0000	379.5000	380.0000
297	2021-04-15	US DOLLAR	2021	April	379.0000	379.5000	380.0000
298	2021-04-14	US DOLLAR	2021	April	379.0000	379.5000	380.0000
299	2021-04-13	US DOLLAR	2021	April	379.0000	379.5000	380.0000
300	2021-04-12	US DOLLAR	2021	April	379.0000	379.5000	380.0000
301	2021-04-09	US DOLLAR	2021	April	379.0000	379.5000	380.0000
302	2021-04-08	US DOLLAR	2021	April	379.0000	379.5000	380.0000
303	2021-04-07	US DOLLAR	2021	April	379.0000	379.5000	380.0000
304	2021-04-06	US DOLLAR	2021	April	379.0000	379.5000	380.0000
305	2021-03-31	US DOLLAR	2021	March	379.0000	379.5000	380.0000
306	2021-03-30	US DOLLAR	2021	March	379.0000	379.5000	380.0000
307	2021-03-29	US DOLLAR	2021	March	379.0000	379.5000	380.0000
308	2021-03-26	US DOLLAR	2021	March	379.0000	379.5000	380.0000
309	2021-03-25	US DOLLAR	2021	March	379.0000	379.5000	380.0000
310	2021-03-24	US DOLLAR	2021	March	379.0000	379.5000	380.0000
311	2021-03-23	US DOLLAR	2021	March	379.0000	379.5000	380.0000
312	2021-03-22	US DOLLAR	2021	March	379.0000	379.5000	380.0000
313	2021-03-19	US DOLLAR	2021	March	379.0000	379.5000	380.0000
314	2021-03-18	US DOLLAR	2021	March	379.0000	379.5000	380.0000
315	2021-03-17	US DOLLAR	2021	March	379.0000	379.5000	380.0000
316	2021-03-16	US DOLLAR	2021	March	379.0000	379.5000	380.0000
317	2021-03-15	US DOLLAR	2021	March	379.0000	379.5000	380.0000
318	2021-03-12	US DOLLAR	2021	March	379.0000	379.5000	380.0000
319	2021-03-11	US DOLLAR	2021	March	379.0000	379.5000	380.0000
320	2021-03-10	US DOLLAR	2021	March	379.0000	379.5000	380.0000
321	2021-03-09	US DOLLAR	2021	March	379.0000	379.5000	380.0000
322	2021-03-08	US DOLLAR	2021	March	379.0000	379.5000	380.0000
323	2021-03-05	US DOLLAR	2021	March	379.0000	379.5000	380.0000
324	2021-03-04	US DOLLAR	2021	March	379.0000	379.5000	380.0000
325	2021-03-03	US DOLLAR	2021	March	379.0000	379.5000	380.0000
326	2021-03-02	US DOLLAR	2021	March	379.0000	379.5000	380.0000
327	2021-03-01	US DOLLAR	2021	March	379.0000	379.5000	380.0000
328	2021-02-26	US DOLLAR	2021	February	379.0000	379.5000	380.0000
329	2021-02-25	US DOLLAR	2021	February	379.0000	379.5000	380.0000
330	2021-02-24	US DOLLAR	2021	February	379.0000	379.5000	380.0000
331	2021-02-23	US DOLLAR	2021	February	379.0000	379.5000	380.0000
332	2021-02-22	US DOLLAR	2021	February	379.0000	379.5000	380.0000
333	2021-02-19	US DOLLAR	2021	February	379.0000	379.5000	380.0000
334	2021-02-18	US DOLLAR	2021	February	379.0000	379.5000	380.0000
335	2021-02-17	US DOLLAR	2021	February	379.0000	379.5000	380.0000
336	2021-02-16	US DOLLAR	2021	February	379.0000	379.5000	380.0000
337	2021-02-15	US DOLLAR	2021	February	379.0000	379.5000	380.0000
338	2021-02-12	US DOLLAR	2021	February	379.0000	379.5000	380.0000
339	2021-02-11	US DOLLAR	2021	February	379.0000	379.5000	380.0000
340	2021-02-10	US DOLLAR	2021	February	379.0000	379.5000	380.0000
341	2021-02-09	US DOLLAR	2021	February	379.0000	379.5000	380.0000
342	2021-02-08	US DOLLAR	2021	February	379.0000	379.5000	380.0000
343	2021-02-05	US DOLLAR	2021	February	379.0000	379.5000	380.0000
344	2021-02-04	US DOLLAR	2021	February	379.0000	379.5000	380.0000
345	2021-02-03	US DOLLAR	2021	February	379.0000	379.5000	380.0000
346	2021-02-02	US DOLLAR	2021	February	379.0000	379.5000	380.0000
347	2021-02-01	US DOLLAR	2021	February	379.0000	379.5000	380.0000
348	2021-01-29	US DOLLAR	2021	January	379.0000	379.5000	380.0000
349	2021-01-28	US DOLLAR	2021	January	379.0000	379.5000	380.0000
350	2021-01-27	US DOLLAR	2021	January	379.0000	379.5000	380.0000
351	2021-01-26	US DOLLAR	2021	January	379.0000	379.5000	380.0000
352	2021-01-25	US DOLLAR	2021	January	379.0000	379.5000	380.0000
353	2021-01-22	US DOLLAR	2021	January	379.0000	379.5000	380.0000
354	2021-01-21	US DOLLAR	2021	January	379.0000	379.5000	380.0000
355	2021-01-20	US DOLLAR	2021	January	379.0000	379.5000	380.0000
356	2021-01-19	US DOLLAR	2021	January	379.0000	379.5000	380.0000
357	2021-01-18	US DOLLAR	2021	January	379.0000	379.5000	380.0000
358	2021-01-15	US DOLLAR	2021	January	379.0000	379.5000	380.0000
359	2021-01-14	US DOLLAR	2021	January	379.0000	379.5000	380.0000
360	2021-01-13	US DOLLAR	2021	January	379.0000	379.5000	380.0000
361	2021-01-12	US DOLLAR	2021	January	379.0000	379.5000	380.0000
362	2021-01-08	US DOLLAR	2021	January	379.0000	379.5000	380.0000
363	2021-01-07	US DOLLAR	2021	January	379.0000	379.5000	380.0000
364	2021-01-06	US DOLLAR	2021	January	379.0000	379.5000	380.0000
365	2021-01-05	US DOLLAR	2021	January	379.0000	379.5000	380.0000
366	2021-01-04	US DOLLAR	2021	January	379.0000	379.5000	380.0000
367	2020-12-31	US DOLLAR	2020	December	379.0000	379.5000	380.0000
368	2020-12-30	US DOLLAR	2020	December	379.0000	379.5000	380.0000
369	2020-12-29	US DOLLAR	2020	December	379.0000	379.5000	380.0000
370	2020-12-24	US DOLLAR	2020	December	379.0000	379.5000	380.0000
371	2020-12-23	US DOLLAR	2020	December	379.0000	379.5000	380.0000
372	2020-12-22	US DOLLAR	2020	December	379.0000	379.5000	380.0000
373	2020-12-21	US DOLLAR	2020	December	379.0000	379.5000	380.0000
374	2020-12-18	US DOLLAR	2020	December	379.0000	379.5000	380.0000
375	2020-12-17	US DOLLAR	2020	December	379.0000	379.5000	380.0000
376	2020-12-16	US DOLLAR	2020	December	379.0000	379.5000	380.0000
